Servicio;Comuna;Criterio_elegibilidad;N° de vacunados;Población objetivo;Avance vacunación;Desagregación;CODIGO_DEIS;Establecimiento;Dosis
Occidente;Alhué;Población General;970;4315.0;22.5;Comunas;;;
Sur;Buin;Población General;8977;49777.0;18.0;Comunas;;;
Sur;Calera de Tango;Población General;2382;11769.0;20.2;Comunas;;;
Central;Cerrillos;Población General;6384;37700.0;16.9;Comunas;;;
Occidente;Cerro Navia;Población General;8790;70538.0;12.5;Comunas;;;
Norte;Colina;Población General;11659;69061.0;16.9;Comunas;;;
Norte;Conchalí;Población General;10126;55099.0;18.4;Comunas;;;
Occidente;Curacaví;Población General;2103;15550.0;13.5;Comunas;;;
Sur;El Bosque;Población General;20301;81250.0;25.0;Comunas;;;
Occidente;El Monte;Población General;2291;18218.0;12.6;Comunas;;;
Central;Estación Central;Población General;9476;82377.0;11.5;Comunas;;;
Norte;Huechuraba;Población General;12732;49277.0;25.8;Comunas;;;
Norte;Independencia;Población General;9224;59663.0;15.5;Comunas;;;
Occidente;Isla de Maipo;Población General;3954;18269.0;21.6;Comunas;;;
Sur;La Cisterna;Población General;8076;57432.0;14.1;Comunas;;;
Suroriente;La Florida;Población General;27045;155838.0;17.4;Comunas;;;
Suroriente;La Granja;Población General;18817;50245.0;37.5;Comunas;;;
Suroriente;La Pintana;Población General;9825;70278.0;14.0;Comunas;;;
Oriente;La Reina;Población General;9922;43344.0;22.9;Comunas;;;
Norte;Lampa;Población General;6696;49096.0;13.6;Comunas;;;
Oriente;Las Condes;Población General;27499;132797.0;20.7;Comunas;;;
Oriente;Lo Barnechea;Población General;9022;43225.0;20.9;Comunas;;;
Sur;Lo Espejo;Población General;6057;43769.0;13.8;Comunas;;;
Occidente;Lo Prado;Población General;12779;50571.0;25.3;Comunas;;;
Oriente;Macul;Población General;10967;54434.0;20.1;Comunas;;;
Central;Maipú;Población General;38767;219646.0;17.6;Comunas;;;
Occidente;María Pinto;Población General;1499;6216.0;24.1;Comunas;;;
Occidente;Melipilla;Población General;15138;62962.0;24.0;Comunas;;;
Occidente;Padre Hurtado;Población General;3574;30508.0;11.7;Comunas;;;
Sur;Paine;Población General;5403;42004.0;12.9;Comunas;;;
Sur;Pedro Aguirre Cerda;Población General;9468;44083.0;21.5;Comunas;;;
Occidente;Peñaflor;Población General;6672;38091.0;17.5;Comunas;;;
Oriente;Peñalolén;Población General;17367;104742.0;16.6;Comunas;;;
Suroriente;Pirque;Población General;2389;12409.0;19.3;Comunas;;;
Oriente;Providencia;Población General;13766;78861.0;17.5;Comunas;;;
Occidente;Pudahuel;Población General;20809;123971.0;16.8;Comunas;;;
Suroriente;Puente Alto;Población General;37154;226516.0;16.4;Comunas;;;
Norte;Quilicura;Población General;18622;86938.0;21.4;Comunas;;;
Occidente;Quinta Normal;Población General;15142;57011.0;26.6;Comunas;;;
Norte;Recoleta;Población General;14074;79389.0;17.7;Comunas;;;
Occidente;Renca;Población General;8918;73834.0;12.1;Comunas;;;
Sur;San Bernardo;Población General;18777;142627.0;13.2;Comunas;;;
Sur;San Joaquín;Población General;10918;48041.0;22.7;Comunas;;;
Suroriente;San José de Maipo;Población General;2060;8534.0;24.1;Comunas;;;
Sur;San Miguel;Población General;12620;65140.0;19.4;Comunas;;;
Occidente;San Pedro;Población General;955;7026.0;13.6;Comunas;;;
Suroriente;San Ramón;Población General;7294;44042.0;16.6;Comunas;;;
Central;Santiago;Población General;26535;173883.0;15.3;Comunas;;;
Occidente;Talagante;Población General;6209;35942.0;17.3;Comunas;;;
Norte;Tiltil;Población General;2691;9742.0;27.6;Comunas;;;
Oriente;Vitacura;Población General;8569;44616.0;19.2;Comunas;;;
Oriente;Ñuñoa;Población General;16711;117184.0;14.3;Comunas;;;
Occidente;Alhué;Personas mayores de 65 años y más;353;1029.0;34.3;Comunas;;;
Sur;Buin;Personas mayores de 65 años y más;3041;11563.0;26.3;Comunas;;;
Sur;Calera de Tango;Personas mayores de 65 años y más;685;3243.0;21.1;Comunas;;;
Central;Cerrillos;Personas mayores de 65 años y más;2708;11529.0;23.5;Comunas;;;
Occidente;Cerro Navia;Personas mayores de 65 años y más;3716;19912.0;18.7;Comunas;;;
Norte;Colina;Personas mayores de 65 años y más;3198;13175.0;24.3;Comunas;;;
Norte;Conchalí;Personas mayores de 65 años y más;5048;21451.0;23.5;Comunas;;;
Occidente;Curacaví;Personas mayores de 65 años y más;1013;5138.0;19.7;Comunas;;;
Sur;El Bosque;Personas mayores de 65 años y más;7200;23840.0;30.2;Comunas;;;
Occidente;El Monte;Personas mayores de 65 años y más;766;4880.0;15.7;Comunas;;;
Central;Estación Central;Personas mayores de 65 años y más;4257;28595.0;14.9;Comunas;;;
Norte;Huechuraba;Personas mayores de 65 años y más;3652;12637.0;28.9;Comunas;;;
Norte;Independencia;Personas mayores de 65 años y más;3855;18517.0;20.8;Comunas;;;
Occidente;Isla de Maipo;Personas mayores de 65 años y más;1519;4884.0;31.1;Comunas;;;
Sur;La Cisterna;Personas mayores de 65 años y más;3912;16370.0;23.9;Comunas;;;
Suroriente;La Florida;Personas mayores de 65 años y más;13350;59239.0;22.5;Comunas;;;
Suroriente;La Granja;Personas mayores de 65 años y más;5445;16446.0;33.1;Comunas;;;
Suroriente;La Pintana;Personas mayores de 65 años y más;4118;20063.0;20.5;Comunas;;;
Oriente;La Reina;Personas mayores de 65 años y más;3641;16530.0;22.0;Comunas;;;
Norte;Lampa;Personas mayores de 65 años y más;1997;9259.0;21.6;Comunas;;;
Oriente;Las Condes;Personas mayores de 65 años y más;13527;59480.0;22.7;Comunas;;;
Oriente;Lo Barnechea;Personas mayores de 65 años y más;2889;11500.0;25.1;Comunas;;;
Sur;Lo Espejo;Personas mayores de 65 años y más;2749;13671.0;20.1;Comunas;;;
Occidente;Lo Prado;Personas mayores de 65 años y más;5632;17051.0;33.0;Comunas;;;
Oriente;Macul;Personas mayores de 65 años y más;4297;22587.0;19.0;Comunas;;;
Central;Maipú;Personas mayores de 65 años y más;16967;63302.0;26.8;Comunas;;;
Occidente;María Pinto;Personas mayores de 65 años y más;612;2033.0;30.1;Comunas;;;
Occidente;Melipilla;Personas mayores de 65 años y más;5234;19249.0;27.2;Comunas;;;
Occidente;Padre Hurtado;Personas mayores de 65 años y más;1356;8104.0;16.7;Comunas;;;
Sur;Paine;Personas mayores de 65 años y más;2324;9651.0;24.1;Comunas;;;
Sur;Pedro Aguirre Cerda;Personas mayores de 65 años y más;4672;16959.0;27.5;Comunas;;;
Occidente;Peñaflor;Personas mayores de 65 años y más;3174;11995.0;26.5;Comunas;;;
Oriente;Peñalolén;Personas mayores de 65 años y más;7361;31965.0;23.0;Comunas;;;
Suroriente;Pirque;Personas mayores de 65 años y más;986;3764.0;26.2;Comunas;;;
Oriente;Providencia;Personas mayores de 65 años y más;5920;27465.0;21.6;Comunas;;;
Occidente;Pudahuel;Personas mayores de 65 años y más;7537;25470.0;29.6;Comunas;;;
Suroriente;Puente Alto;Personas mayores de 65 años y más;13513;58764.0;23.0;Comunas;;;
Norte;Quilicura;Personas mayores de 65 años y más;4193;17126.0;24.5;Comunas;;;
Occidente;Quinta Normal;Personas mayores de 65 años y más;3862;20596.0;18.8;Comunas;;;
Norte;Recoleta;Personas mayores de 65 años y más;5349;27948.0;19.1;Comunas;;;
Occidente;Renca;Personas mayores de 65 años y más;3475;18781.0;18.5;Comunas;;;
Sur;San Bernardo;Personas mayores de 65 años y más;5746;34582.0;16.6;Comunas;;;
Sur;San Joaquín;Personas mayores de 65 años y más;3945;17309.0;22.8;Comunas;;;
Suroriente;San José de Maipo;Personas mayores de 65 años y más;676;2645.0;25.6;Comunas;;;
Sur;San Miguel;Personas mayores de 65 años y más;5005;20082.0;24.9;Comunas;;;
Occidente;San Pedro;Personas mayores de 65 años y más;371;1962.0;18.9;Comunas;;;
Suroriente;San Ramón;Personas mayores de 65 años y más;2932;14027.0;20.9;Comunas;;;
Central;Santiago;Personas mayores de 65 años y más;9775;46393.0;21.1;Comunas;;;
Occidente;Talagante;Personas mayores de 65 años y más;2161;9336.0;23.1;Comunas;;;
Norte;Tiltil;Personas mayores de 65 años y más;818;2648.0;30.9;Comunas;;;
Oriente;Vitacura;Personas mayores de 65 años y más;3900;19228.0;20.3;Comunas;;;
Oriente;Ñuñoa;Personas mayores de 65 años y más;7089;41918.0;16.9;Comunas;;;
Occidente;Alhué;Niños y niñas de 6 meses a 5 años de edad;112;545.0;20.6;Comunas;;;
Sur;Buin;Niños y niñas de 6 meses a 5 años de edad;1042;9008.0;11.6;Comunas;;;
Sur;Calera de Tango;Niños y niñas de 6 meses a 5 años de edad;283;2007.0;14.1;Comunas;;;
Central;Cerrillos;Niños y niñas de 6 meses a 5 años de edad;524;6323.0;8.3;Comunas;;;
Occidente;Cerro Navia;Niños y niñas de 6 meses a 5 años de edad;767;9498.0;8.1;Comunas;;;
Norte;Colina;Niños y niñas de 6 meses a 5 años de edad;2832;18432.0;15.4;Comunas;;;
Norte;Conchalí;Niños y niñas de 6 meses a 5 años de edad;601;8799.0;6.8;Comunas;;;
Occidente;Curacaví;Niños y niñas de 6 meses a 5 años de edad;144;2693.0;5.3;Comunas;;;
Sur;El Bosque;Niños y niñas de 6 meses a 5 años de edad;2579;11587.0;22.3;Comunas;;;
