Comuna_residencia,pob_65m,N° de vacunados,Cobertura
Alhué,1029,81,7.9
Buin,11563,471,4.1
Calera de Tango,3243,83,2.6
Cerrillos,11529,771,6.7
Cerro Navia,19912,641,3.2
Colina,13175,986,7.5
Conchalí,21451,1226,5.7
Curacaví,5138,298,5.8
El Bosque,23840,1922,8.1
El Monte,4880,145,3.0
Estación Central,28595,1020,3.6
Huechuraba,12637,1282,10.1
Independencia,18517,801,4.3
Isla de Maipo,4884,395,8.1
La Cisterna,16370,899,5.5
La Florida,59239,3290,5.6
La Granja,16446,1642,10.0
La Pintana,20063,824,4.1
La Reina,16530,849,5.1
Lampa,9259,357,3.9
Las Condes,59480,3230,5.4
Lo Barnechea,11500,1078,9.4
Lo Espejo,13671,625,4.6
Lo Prado,17051,1189,7.0
Macul,22587,964,4.3
Maipú,63302,3640,5.8
María Pinto,2033,150,7.4
Melipilla,19249,1340,7.0
Padre Hurtado,8104,140,1.7
Paine,9651,579,6.0
Pedro Aguirre Cerda,16959,1404,8.3
Peñaflor,11995,597,5.0
Peñalolén,31965,1356,4.2
Pirque,3764,221,5.9
Providencia,27465,1283,4.7
Pudahuel,25470,1769,6.9
Puente Alto,58764,2230,3.8
Quilicura,17126,884,5.2
Quinta Normal,20596,936,4.5
Recoleta,27948,1209,4.3
Renca,18781,595,3.2
San Bernardo,34582,1044,3.0
San Joaquín,17309,994,5.7
San José de Maipo,2645,153,5.8
San Miguel,20082,1130,5.6
San Pedro,1962,78,4.0
San Ramón,14027,545,3.9
Santiago,46393,2489,5.4
Talagante,9336,417,4.5
Tiltil,2648,240,9.1
Vitacura,19228,1309,6.8
Ñuñoa,41918,1671,4.0
