Comuna;CODIGO_DEIS;Establecimiento;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
Alhué;10-393;Centro de Salud Familiar Villa Alhué;1° dosis;35;Población General;Occidente
Alhué;10-393;Centro de Salud Familiar Villa Alhué;Única;1248;Población General;Occidente
Buin;13-150;Hospital San Luis (Buin);EPRO;1;Población General;Sur
Buin;13-150;Hospital San Luis (Buin);Única;490;Población General;Sur
Buin;13-320;Centro de Salud Familiar Maipo;1° dosis;35;Población General;Sur
Buin;13-320;Centro de Salud Familiar Maipo;Única;1553;Población General;Sur
Buin;13-333;Centro de Salud Familiar Alto Jahuel;1° dosis;35;Población General;Sur
Buin;13-333;Centro de Salud Familiar Alto Jahuel;Única;891;Población General;Sur
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;1° dosis;129;Población General;Sur
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;EPRO;3;Población General;Sur
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;Única;4876;Población General;Sur
Buin;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;1° dosis;15;Población General;Sur
Buin;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;Única;651;Población General;Sur
Buin;13-404;Posta de Salud Rural Valdivia de Paine;1° dosis;12;Población General;Sur
Buin;13-404;Posta de Salud Rural Valdivia de Paine;Única;254;Población General;Sur
Buin;13-405;Posta de Salud Rural Viluco;1° dosis;11;Población General;Sur
Buin;13-405;Posta de Salud Rural Viluco;Única;278;Población General;Sur
Buin;13-406;Posta de Salud Rural El Recurso;1° dosis;2;Población General;Sur
Buin;13-406;Posta de Salud Rural El Recurso;Única;134;Población General;Sur
Buin;13-407;Posta de Salud Rural Los Morros;1° dosis;7;Población General;Sur
Buin;13-407;Posta de Salud Rural Los Morros;Única;456;Población General;Sur
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;1° dosis;24;Población General;Sur
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;Única;405;Población General;Sur
Buin;201098;Centro Medico KINEROD;1° dosis;5;Población General;Sur
Buin;201098;Centro Medico KINEROD;Única;178;Población General;Sur
Buin;201162;KUME FELEN SPA;1° dosis;27;Población General;Sur
Buin;201162;KUME FELEN SPA;Única;234;Población General;Sur
Calera de Tango;13-321;Centro de Salud Familiar Calera de Tango;1° dosis;25;Población General;Sur
Calera de Tango;13-321;Centro de Salud Familiar Calera de Tango;Única;1931;Población General;Sur
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;1° dosis;19;Población General;Sur
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;EPRO;1;Población General;Sur
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;Única;1171;Población General;Sur
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;1° dosis;174;Población General;Central
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;EPRO;1;Población General;Central
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Única;4158;Población General;Central
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;1° dosis;96;Población General;Central
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Única;3128;Población General;Central
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;1° dosis;114;Población General;Occidente
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;2° dosis;2;Población General;Occidente
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Única;3009;Población General;Occidente
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;1° dosis;53;Población General;Occidente
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Única;1613;Población General;Occidente
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;1° dosis;162;Población General;Occidente
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;EPRO;1;Población General;Occidente
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Única;3895;Población General;Occidente
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;1° dosis;162;Población General;Occidente
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Única;2568;Población General;Occidente
Colina;09-310;Centro de Salud Familiar Colina;1° dosis;672;Población General;Norte
Colina;09-310;Centro de Salud Familiar Colina;2° dosis;1;Población General;Norte
Colina;09-310;Centro de Salud Familiar Colina;EPRO;1;Población General;Norte
Colina;09-310;Centro de Salud Familiar Colina;Única;7833;Población General;Norte
Colina;09-316;Centro de Salud Familiar Esmeralda;1° dosis;96;Población General;Norte
Colina;09-316;Centro de Salud Familiar Esmeralda;Única;2045;Población General;Norte
Colina;09-417;Posta de Salud Rural Los Ingleses;1° dosis;6;Población General;Norte
Colina;09-417;Posta de Salud Rural Los Ingleses;Única;237;Población General;Norte
Colina;09-418;Posta de Salud Rural Las Canteras;Única;188;Población General;Norte
Colina;09-419;Posta de Salud Rural Santa Marta de Liray;1° dosis;8;Población General;Norte
Colina;09-419;Posta de Salud Rural Santa Marta de Liray;Única;380;Población General;Norte
Colina;09-420;Posta de Salud Rural Chacabuco (Colina);1° dosis;1;Población General;Norte
Colina;09-420;Posta de Salud Rural Chacabuco (Colina);Única;160;Población General;Norte
Colina;09-716;Centro Comunitario de Salud Familiar Esmeralda;Única;196;Población General;Norte
Colina;09-810;SAR Colina;Única;161;Población General;Norte
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;1° dosis;81;Población General;Norte
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;Única;866;Población General;Norte
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);1° dosis;69;Población General;Norte
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);Única;818;Población General;Norte
Colina;201087;VACUNATORIO CHICUREO SpA;1° dosis;2;Población General;Norte
Colina;201087;VACUNATORIO CHICUREO SpA;Única;30;Población General;Norte
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;1° dosis;88;Población General;Norte
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;Única;4428;Población General;Norte
Conchalí;09-308;Centro de Salud Familiar Alberto Bachelet Martínez;1° dosis;46;Población General;Norte
Conchalí;09-308;Centro de Salud Familiar Alberto Bachelet Martínez;Única;2191;Población General;Norte
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;1° dosis;50;Población General;Norte
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;Única;2660;Población General;Norte
Conchalí;09-314;Centro de Salud Familiar Juanita Aguirre;1° dosis;51;Población General;Norte
Conchalí;09-314;Centro de Salud Familiar Juanita Aguirre;Única;1934;Población General;Norte
Curacaví;10-160;Hospital de Curacaví;1° dosis;97;Población General;Occidente
Curacaví;10-160;Hospital de Curacaví;Única;2602;Población General;Occidente
El Bosque;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;1° dosis;193;Población General;Sur
El Bosque;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;Única;4885;Población General;Sur
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;1° dosis;295;Población General;Sur
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;Única;5728;Población General;Sur
El Bosque;13-317;Centro de Salud Familiar Santa Laura;1° dosis;83;Población General;Sur
El Bosque;13-317;Centro de Salud Familiar Santa Laura;EPRO;1;Población General;Sur
El Bosque;13-317;Centro de Salud Familiar Santa Laura;Única;3638;Población General;Sur
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;1° dosis;116;Población General;Sur
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;Única;3469;Población General;Sur
El Bosque;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;1° dosis;76;Población General;Sur
El Bosque;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;Única;3644;Población General;Sur
El Bosque;13-329;Centro de Salud Familiar Canciller Orlando Letelier;1° dosis;168;Población General;Sur
El Bosque;13-329;Centro de Salud Familiar Canciller Orlando Letelier;Única;4116;Población General;Sur
El Monte;10-370;Centro de Salud Familiar El Monte;1° dosis;66;Población General;Occidente
El Monte;10-370;Centro de Salud Familiar El Monte;EPRO;1;Población General;Occidente
El Monte;10-370;Centro de Salud Familiar El Monte;Única;2867;Población General;Occidente
Estación Central;11-202;Hospital Clínico Mutual de Seguridad C.CH.C.;Única;1629;Población General;Central
Estación Central;11-230;Clínica Hospital del Profesor;1° dosis;89;Población General;Central
Estación Central;11-230;Clínica Hospital del Profesor;Única;914;Población General;Central
Estación Central;11-295;Red Salud Santiago ex Clínica Bicentenario;1° dosis;124;Población General;Central
Estación Central;11-295;Red Salud Santiago ex Clínica Bicentenario;Única;2018;Población General;Central
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;1° dosis;111;Población General;Central
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;2° dosis;1;Población General;Central
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Única;2215;Población General;Central
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;1° dosis;180;Población General;Central
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;EPRO;1;Población General;Central
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Única;4888;Población General;Central
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;1° dosis;238;Población General;Central
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;2° dosis;2;Población General;Central
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;EPRO;3;Población General;Central
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Única;2969;Población General;Central
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;1° dosis;126;Población General;Norte
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;EPRO;1;Población General;Norte
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;Única;3771;Población General;Norte
Huechuraba;09-317;Centro de Salud Familiar El Barrero;1° dosis;158;Población General;Norte
Huechuraba;09-317;Centro de Salud Familiar El Barrero;Única;3780;Población General;Norte
Huechuraba;09-323;Centro de Salud Familiar Dr. Salvador Allende Gossens;1° dosis;182;Población General;Norte
Huechuraba;09-323;Centro de Salud Familiar Dr. Salvador Allende Gossens;Única;2126;Población General;Norte
Huechuraba;09-718;Centro Comunitario de Salud Familiar Los Libertadores;1° dosis;81;Población General;Norte
Huechuraba;09-718;Centro Comunitario de Salud Familiar Los Libertadores;Única;1683;Población General;Norte
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;1° dosis;384;Población General;Norte
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;EPRO;1;Población General;Norte
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;Única;3936;Población General;Norte
Independencia;09-100;Complejo Hospitalario San José (Santiago, Independencia);EPRO;1;Población General;Norte
Independencia;09-100;Complejo Hospitalario San José (Santiago, Independencia);Única;2770;Población General;Norte
Independencia;09-101;Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia);1° dosis;18;Población General;Norte
Independencia;09-101;Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia);Única;1113;Población General;Norte
Independencia;09-200;Hospital Clínico Universidad de Chile;1° dosis;22;Población General;Norte
Independencia;09-200;Hospital Clínico Universidad de Chile;Única;3836;Población General;Norte
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;1° dosis;213;Población General;Norte
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;2° dosis;1;Población General;Norte
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;EPRO;3;Población General;Norte
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;Única;6764;Población General;Norte
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;1° dosis;40;Población General;Norte
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;EPRO;1;Población General;Norte
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;Única;2630;Población General;Norte
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;1° dosis;58;Población General;Occidente
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;EPRO;4;Población General;Occidente
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Única;2788;Población General;Occidente
Isla de Maipo;10-425;Centro de Salud Familiar La Islita;1° dosis;44;Población General;Occidente
Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Única;1956;Población General;Occidente
La Cisterna;13-311;Centro de Salud Familiar Santa Anselma;1° dosis;142;Población General;Sur
La Cisterna;13-311;Centro de Salud Familiar Santa Anselma;Única;5231;Población General;Sur
La Cisterna;13-326;Centro de Salud Familiar Eduardo Frei Montalva;1° dosis;91;Población General;Sur
La Cisterna;13-326;Centro de Salud Familiar Eduardo Frei Montalva;Única;4940;Población General;Sur
La Florida;14-105;Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza;Única;1938;Población General;Suroriente
La Florida;14-223;Clínica Vespucio;1° dosis;136;Población General;Suroriente
La Florida;14-223;Clínica Vespucio;Única;1818;Población General;Suroriente
La Florida;14-302;Centro de Salud Familiar Los Castaños;1° dosis;54;Población General;Suroriente
La Florida;14-302;Centro de Salud Familiar Los Castaños;Única;817;Población General;Suroriente
La Florida;14-303;Centro de Salud Familiar Bellavista;1° dosis;61;Población General;Suroriente
La Florida;14-303;Centro de Salud Familiar Bellavista;Única;750;Población General;Suroriente
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;1° dosis;86;Población General;Suroriente
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;EPRO;1;Población General;Suroriente
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;Única;4316;Población General;Suroriente
La Florida;14-305;Centro de Salud Familiar Los Quillayes;1° dosis;122;Población General;Suroriente
La Florida;14-305;Centro de Salud Familiar Los Quillayes;Única;5006;Población General;Suroriente
La Florida;14-316;Centro de Salud Familiar Dr. Fernando Maffioletti;1° dosis;23;Población General;Suroriente
La Florida;14-316;Centro de Salud Familiar Dr. Fernando Maffioletti;Única;475;Población General;Suroriente
La Florida;14-324;Centro de Salud Familiar Santa Amalia;1° dosis;120;Población General;Suroriente
La Florida;14-324;Centro de Salud Familiar Santa Amalia;2° dosis;1;Población General;Suroriente
La Florida;14-324;Centro de Salud Familiar Santa Amalia;EPRO;1;Población General;Suroriente
La Florida;14-324;Centro de Salud Familiar Santa Amalia;Única;2048;Población General;Suroriente
La Florida;14-330;Centro de Salud Familiar Trinidad;1° dosis;123;Población General;Suroriente
La Florida;14-330;Centro de Salud Familiar Trinidad;EPRO;1;Población General;Suroriente
La Florida;14-330;Centro de Salud Familiar Trinidad;Única;1841;Población General;Suroriente
La Florida;14-331;Centro de Salud Familiar La Florida;1° dosis;100;Población General;Suroriente
