Comuna_residencia,pob_ine,N° de vacunados,Cobertura,Grupo_obj,cod_comuna,Comuna,Provincia,Servicio
Alhué,7756,643,8.3,Población General,13502,Alhué,Melipilla,Occidente
Buin,116032,5681,4.9,Población General,13402,Buin,Maipo,Sur
Calera de Tango,29880,1115,3.7,Población General,13403,Calera de Tango,Maipo,Sur
Cerrillos,90060,3754,4.2,Población General,13102,Cerrillos,Santiago,Central
Cerro Navia,140581,5113,3.6,Población General,13103,Cerro Navia,Santiago,Occidente
Colina,193594,7427,3.8,Población General,13301,Colina,Chacabuco,Norte
Conchalí,137678,6750,4.9,Población General,13104,Conchalí,Santiago,Norte
Curacaví,37932,1389,3.7,Población General,13503,Curacaví,Melipilla,Occidente
El Bosque,170536,12860,7.5,Población General,13105,El Bosque,Santiago,Sur
El Monte,41711,1591,3.8,Población General,13602,El Monte,Talagante,Occidente
Estación Central,219897,5981,2.7,Población General,13106,Estación Central,Santiago,Central
Huechuraba,117121,7996,6.8,Población General,13107,Huechuraba,Santiago,Norte
Independencia,151890,6218,4.1,Población General,13108,Independencia,Santiago,Norte
Isla de Maipo,41876,2226,5.3,Población General,13603,Isla de Maipo,Talagante,Occidente
La Cisterna,101377,5139,5.1,Población General,13109,La Cisterna,Santiago,Sur
La Florida,406796,17580,4.3,Población General,13110,La Florida,Santiago,Suroriente
La Granja,120249,11938,9.9,Población General,13111,La Granja,Santiago,Suroriente
La Pintana,189151,5860,3.1,Población General,13112,La Pintana,Santiago,Suroriente
La Reina,99686,6657,6.7,Población General,13113,La Reina,Santiago,Oriente
Lampa,139266,4327,3.1,Población General,13302,Lampa,Chacabuco,Norte
Las Condes,341183,18388,5.4,Población General,13114,Las Condes,Santiago,Oriente
Lo Barnechea,129790,5419,4.2,Población General,13115,Lo Barnechea,Santiago,Oriente
Lo Espejo,101615,3746,3.7,Población General,13116,Lo Espejo,Santiago,Sur
Lo Prado,102923,7432,7.2,Población General,13117,Lo Prado,Santiago,Occidente
Macul,137735,6681,4.9,Población General,13118,Macul,Santiago,Oriente
Maipú,586337,24479,4.2,Población General,13119,Maipú,Santiago,Central
María Pinto,15503,914,5.9,Población General,13504,María Pinto,Melipilla,Occidente
Melipilla,147275,9153,6.2,Población General,13501,Melipilla,Melipilla,Occidente
Padre Hurtado,79925,1833,2.3,Población General,13604,Padre Hurtado,Talagante,Occidente
Paine,87059,3494,4.0,Población General,13404,Paine,Maipo,Sur
Pedro Aguirre Cerda,105483,6274,5.9,Población General,13121,Pedro Aguirre Cerda,Santiago,Sur
Peñaflor,105498,4351,4.1,Población General,13605,Peñaflor,Talagante,Occidente
Peñalolén,271854,10595,3.9,Población General,13122,Peñalolén,Santiago,Oriente
Pirque,32412,1535,4.7,Población General,13202,Pirque,Cordillera,Suroriente
Providencia,162837,9319,5.7,Población General,13123,Providencia,Santiago,Oriente
Pudahuel,260129,13072,5.0,Población General,13124,Pudahuel,Santiago,Occidente
Puente Alto,664370,21646,3.3,Población General,13201,Puente Alto,Cordillera,Suroriente
Quilicura,271385,10156,3.7,Población General,13125,Quilicura,Santiago,Norte
Quinta Normal,140964,6182,4.4,Población General,13126,Quinta Normal,Santiago,Occidente
Recoleta,196073,8796,4.5,Población General,13127,Recoleta,Santiago,Norte
Renca,162854,5462,3.4,Población General,13128,Renca,Santiago,Occidente
San Bernardo,345583,10914,3.2,Población General,13401,San Bernardo,Maipo,Sur
San Joaquín,103420,7104,6.9,Población General,13129,San Joaquín,Santiago,Sur
San José de Maipo,19330,1327,6.9,Población General,13203,San José de Maipo,Cordillera,Suroriente
San Miguel,142549,7992,5.6,Población General,13130,San Miguel,Santiago,Sur
San Pedro,12412,580,4.7,Población General,13505,San Pedro,Melipilla,Occidente
San Ramón,84495,4094,4.8,Población General,13131,San Ramón,Santiago,Suroriente
Santiago,536089,16564,3.1,Población General,13101,Santiago,Santiago,Central
Talagante,84670,3530,4.2,Población General,13601,Talagante,Talagante,Occidente
Tiltil,22262,1782,8.0,Población General,13303,Tiltil,Chacabuco,Norte
Vitacura,97388,5363,5.5,Población General,13132,Vitacura,Santiago,Oriente
Ñuñoa,263319,11324,4.3,Población General,13120,Ñuñoa,Santiago,Oriente
Alhué,1029,214,20.8,Adultos 65 o más años,13502,Alhué,Melipilla,Occidente
Buin,11563,1816,15.7,Adultos 65 o más años,13402,Buin,Maipo,Sur
Calera de Tango,3243,406,12.5,Adultos 65 o más años,13403,Calera de Tango,Maipo,Sur
Cerrillos,11529,1725,15.0,Adultos 65 o más años,13102,Cerrillos,Santiago,Central
Cerro Navia,19912,2080,10.4,Adultos 65 o más años,13103,Cerro Navia,Santiago,Occidente
Colina,13175,2083,15.8,Adultos 65 o más años,13301,Colina,Chacabuco,Norte
Conchalí,21451,3195,14.9,Adultos 65 o más años,13104,Conchalí,Santiago,Norte
Curacaví,5138,650,12.7,Adultos 65 o más años,13503,Curacaví,Melipilla,Occidente
El Bosque,23840,4869,20.4,Adultos 65 o más años,13105,El Bosque,Santiago,Sur
El Monte,4880,420,8.6,Adultos 65 o más años,13602,El Monte,Talagante,Occidente
Estación Central,28595,2659,9.3,Adultos 65 o más años,13106,Estación Central,Santiago,Central
Huechuraba,12637,2631,20.8,Adultos 65 o más años,13107,Huechuraba,Santiago,Norte
Independencia,18517,2561,13.8,Adultos 65 o más años,13108,Independencia,Santiago,Norte
Isla de Maipo,4884,1008,20.6,Adultos 65 o más años,13603,Isla de Maipo,Talagante,Occidente
La Cisterna,16370,2429,14.8,Adultos 65 o más años,13109,La Cisterna,Santiago,Sur
La Florida,59239,8342,14.1,Adultos 65 o más años,13110,La Florida,Santiago,Suroriente
La Granja,16446,3580,21.8,Adultos 65 o más años,13111,La Granja,Santiago,Suroriente
La Pintana,20063,2368,11.8,Adultos 65 o más años,13112,La Pintana,Santiago,Suroriente
La Reina,16530,2321,14.0,Adultos 65 o más años,13113,La Reina,Santiago,Oriente
Lampa,9259,1315,14.2,Adultos 65 o más años,13302,Lampa,Chacabuco,Norte
Las Condes,59480,8343,14.0,Adultos 65 o más años,13114,Las Condes,Santiago,Oriente
Lo Barnechea,11500,2017,17.5,Adultos 65 o más años,13115,Lo Barnechea,Santiago,Oriente
Lo Espejo,13671,1672,12.2,Adultos 65 o más años,13116,Lo Espejo,Santiago,Sur
Lo Prado,17051,3655,21.4,Adultos 65 o más años,13117,Lo Prado,Santiago,Occidente
Macul,22587,2695,11.9,Adultos 65 o más años,13118,Macul,Santiago,Oriente
Maipú,63302,10688,16.9,Adultos 65 o más años,13119,Maipú,Santiago,Central
María Pinto,2033,386,19.0,Adultos 65 o más años,13504,María Pinto,Melipilla,Occidente
Melipilla,19249,3561,18.5,Adultos 65 o más años,13501,Melipilla,Melipilla,Occidente
