Comuna;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
Alhué;1° dosis;40;Población General;Occidente
Alhué;2° dosis;3;Población General;Occidente
Alhué;Única;1523;Población General;Occidente
Buin;1° dosis;505;Población General;Sur
Buin;2° dosis;12;Población General;Sur
Buin;EPRO;3;Población General;Sur
Buin;Única;15232;Población General;Sur
Calera de Tango;1° dosis;64;Población General;Sur
Calera de Tango;EPRO;1;Población General;Sur
Calera de Tango;Única;4030;Población General;Sur
Cerrillos;1° dosis;437;Población General;Central
Cerrillos;2° dosis;5;Población General;Central
Cerrillos;EPRO;1;Población General;Central
Cerrillos;Única;10650;Población General;Central
Cerro Navia;1° dosis;758;Población General;Occidente
Cerro Navia;2° dosis;7;Población General;Occidente
Cerro Navia;EPRO;2;Población General;Occidente
Cerro Navia;Única;15471;Población General;Occidente
Colina;1° dosis;1225;Población General;Norte
Colina;2° dosis;3;Población General;Norte
Colina;EPRO;2;Población General;Norte
Colina;Única;16952;Población General;Norte
Conchalí;1° dosis;614;Población General;Norte
Conchalí;2° dosis;9;Población General;Norte
Conchalí;EPRO;1;Población General;Norte
Conchalí;Única;16631;Población General;Norte
Curacaví;1° dosis;156;Población General;Occidente
Curacaví;2° dosis;2;Población General;Occidente
Curacaví;EPRO;3;Población General;Occidente
Curacaví;Única;3400;Población General;Occidente
El Bosque;1° dosis;1201;Población General;Sur
El Bosque;2° dosis;3;Población General;Sur
El Bosque;EPRO;2;Población General;Sur
El Bosque;Única;31032;Población General;Sur
El Monte;1° dosis;83;Población General;Occidente
El Monte;2° dosis;3;Población General;Occidente
El Monte;Única;3638;Población General;Occidente
Estación Central;1° dosis;1194;Población General;Central
Estación Central;2° dosis;7;Población General;Central
Estación Central;EPRO;4;Población General;Central
Estación Central;Única;19988;Población General;Central
Huechuraba;1° dosis;1452;Población General;Norte
Huechuraba;2° dosis;4;Población General;Norte
Huechuraba;EPRO;2;Población General;Norte
Huechuraba;Única;20371;Población General;Norte
Independencia;1° dosis;426;Población General;Norte
Independencia;2° dosis;6;Población General;Norte
Independencia;EPRO;5;Población General;Norte
Independencia;Única;19172;Población General;Norte
Isla de Maipo;1° dosis;180;Población General;Occidente
Isla de Maipo;2° dosis;1;Población General;Occidente
Isla de Maipo;EPRO;4;Población General;Occidente
Isla de Maipo;Única;5982;Población General;Occidente
La Cisterna;1° dosis;357;Población General;Sur
La Cisterna;2° dosis;15;Población General;Sur
La Cisterna;EPRO;1;Población General;Sur
La Cisterna;Única;14274;Población General;Sur
La Florida;1° dosis;1252;Población General;Suroriente
La Florida;2° dosis;9;Población General;Suroriente
La Florida;EPRO;5;Población General;Suroriente
La Florida;Única;44035;Población General;Suroriente
La Granja;1° dosis;889;Población General;Suroriente
La Granja;2° dosis;4;Población General;Suroriente
La Granja;EPRO;4;Población General;Suroriente
La Granja;Única;23950;Población General;Suroriente
La Pintana;1° dosis;663;Población General;Suroriente
La Pintana;2° dosis;5;Población General;Suroriente
La Pintana;EPRO;23;Población General;Suroriente
La Pintana;Única;17542;Población General;Suroriente
La Reina;1° dosis;540;Población General;Oriente
La Reina;2° dosis;1;Población General;Oriente
La Reina;EPRO;2;Población General;Oriente
La Reina;Única;16004;Población General;Oriente
Lampa;1° dosis;710;Población General;Norte
Lampa;2° dosis;3;Población General;Norte
Lampa;EPRO;1;Población General;Norte
Lampa;Única;10927;Población General;Norte
Las Condes;1° dosis;1031;Población General;Oriente
Las Condes;2° dosis;16;Población General;Oriente
Las Condes;EPRO;1;Población General;Oriente
Las Condes;Única;44042;Población General;Oriente
Lo Barnechea;1° dosis;863;Población General;Oriente
Lo Barnechea;2° dosis;3;Población General;Oriente
Lo Barnechea;EPRO;2;Población General;Oriente
Lo Barnechea;Única;14448;Población General;Oriente
Lo Espejo;1° dosis;248;Población General;Sur
