Comuna;CODIGO_DEIS;Establecimiento;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio;Código Antiguo ;latitud;longitud
Alhué;10-393;Centro de Salud Familiar Villa Alhué;1° dosis;39;Población General;Occidente;10-393;-34.032484;-71.100076
Alhué;10-393;Centro de Salud Familiar Villa Alhué;2° dosis;3;Población General;Occidente;10-393;-34.032484;-71.100076
Alhué;10-393;Centro de Salud Familiar Villa Alhué;Única;1509;Población General;Occidente;10-393;-34.032484;-71.100076
Buin;13-150;Hospital San Luis (Buin);Única;580;Población General;Sur;13-150;-33.734263;-70.739547
Buin;13-320;Centro de Salud Familiar Maipo;1° dosis;64;Población General;Sur;13-320;-33.734885;-70.784598
Buin;13-320;Centro de Salud Familiar Maipo;2° dosis;3;Población General;Sur;13-320;-33.734885;-70.784598
Buin;13-320;Centro de Salud Familiar Maipo;Única;3098;Población General;Sur;13-320;-33.734885;-70.784598
Buin;13-333;Centro de Salud Familiar Alto Jahuel;1° dosis;53;Población General;Sur;13-333;-33.735249;-70.684161
Buin;13-333;Centro de Salud Familiar Alto Jahuel;2° dosis;2;Población General;Sur;13-333;-33.735249;-70.684161
Buin;13-333;Centro de Salud Familiar Alto Jahuel;Única;1192;Población General;Sur;13-333;-33.735249;-70.684161
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;1° dosis;224;Población General;Sur;13-390;-33.737754;-70.741333
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;2° dosis;6;Población General;Sur;13-390;-33.737754;-70.741333
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;EPRO;3;Población General;Sur;13-390;-33.737754;-70.741333
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;Única;6797;Población General;Sur;13-390;-33.737754;-70.741333
Buin;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;1° dosis;20;Población General;Sur;13-402;-33.75109;-70.735556
Buin;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;Única;842;Población General;Sur;13-402;-33.75109;-70.735556
Buin;13-404;Posta de Salud Rural Valdivia de Paine;1° dosis;15;Población General;Sur;13-404;-33.811928;-70.86063
Buin;13-404;Posta de Salud Rural Valdivia de Paine;Única;301;Población General;Sur;13-404;-33.811928;-70.86063
Buin;13-405;Posta de Salud Rural Viluco;1° dosis;13;Población General;Sur;13-405;-33.782229;-70.791771
Buin;13-405;Posta de Salud Rural Viluco;Única;308;Población General;Sur;13-405;-33.782229;-70.791771
Buin;13-406;Posta de Salud Rural El Recurso;1° dosis;2;Población General;Sur;13-406;-33.690787;-70.701729
Buin;13-406;Posta de Salud Rural El Recurso;Única;189;Población General;Sur;13-406;-33.690787;-70.701729
Buin;13-407;Posta de Salud Rural Los Morros;1° dosis;7;Población General;Sur;13-407;-33.67046;-70.665548
Buin;13-407;Posta de Salud Rural Los Morros;Única;569;Población General;Sur;13-407;-33.67046;-70.665548
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;1° dosis;30;Población General;Sur;13-790;-33.711787;-70.739533
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;Única;525;Población General;Sur;13-790;-33.711787;-70.739533
Buin;201098;Centro Medico KINEROD;1° dosis;5;Población General;Sur;201098;-33.73418;-70.744272
Buin;201098;Centro Medico KINEROD;Única;213;Población General;Sur;201098;-33.73418;-70.744272
Buin;201162;KUME FELEN SPA;1° dosis;28;Población General;Sur;201162;-33.730461;-70.741187
Buin;201162;KUME FELEN SPA;2° dosis;1;Población General;Sur;201162;-33.730461;-70.741187
Buin;201162;KUME FELEN SPA;Única;319;Población General;Sur;201162;-33.730461;-70.741187
Calera de Tango;13-321;Centro de Salud Familiar Calera de Tango;1° dosis;31;Población General;Sur;13-321;-33.636009;-70.811012
Calera de Tango;13-321;Centro de Salud Familiar Calera de Tango;Única;2464;Población General;Sur;13-321;-33.636009;-70.811012
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;1° dosis;32;Población General;Sur;13-334;-33.625946;-70.782415
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;EPRO;1;Población General;Sur;13-334;-33.625946;-70.782415
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;Única;1550;Población General;Sur;13-334;-33.625946;-70.782415
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;1° dosis;290;Población General;Central;11-305;-33.49331;-70.719201
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;2° dosis;4;Población General;Central;11-305;-33.49331;-70.719201
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;EPRO;1;Población General;Central;11-305;-33.49331;-70.719201
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Única;6503;Población General;Central;11-305;-33.49331;-70.719201
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;1° dosis;129;Población General;Central;11-307;-33.501479;-70.733545
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Única;3804;Población General;Central;11-307;-33.501479;-70.733545
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;1° dosis;143;Población General;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;2° dosis;3;Población General;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;EPRO;1;Población General;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Única;4129;Población General;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;1° dosis;102;Población General;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;2° dosis;1;Población General;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;EPRO;1;Población General;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Única;2159;Población General;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;1° dosis;197;Población General;Occidente;10-335;-33.419555;-70.750834
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;2° dosis;3;Población General;Occidente;10-335;-33.419555;-70.750834
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Única;5349;Población General;Occidente;10-335;-33.419555;-70.750834
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;1° dosis;288;Población General;Occidente;10-355;-33.433502;-70.731655
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Única;3454;Población General;Occidente;10-355;-33.433502;-70.731655
Colina;09-310;Centro de Salud Familiar Colina;1° dosis;844;Población General;Norte;09-310;-33.205979;-70.670553
Colina;09-310;Centro de Salud Familiar Colina;2° dosis;3;Población General;Norte;09-310;-33.205979;-70.670553
Colina;09-310;Centro de Salud Familiar Colina;EPRO;2;Población General;Norte;09-310;-33.205979;-70.670553
Colina;09-310;Centro de Salud Familiar Colina;Única;10282;Población General;Norte;09-310;-33.205979;-70.670553
Colina;09-316;Centro de Salud Familiar Esmeralda;1° dosis;135;Población General;Norte;09-316;-33.184133;-70.653657
Colina;09-316;Centro de Salud Familiar Esmeralda;Única;2532;Población General;Norte;09-316;-33.184133;-70.653657
Colina;09-417;Posta de Salud Rural Los Ingleses;1° dosis;8;Población General;Norte;09-417;-33.267323;-70.678694
Colina;09-417;Posta de Salud Rural Los Ingleses;Única;262;Población General;Norte;09-417;-33.267323;-70.678694
Colina;09-418;Posta de Salud Rural Las Canteras;Única;203;Población General;Norte;09-418;-33.3043;-70.689015
