Comuna;FECHA_INMUNIZACION;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
Alhué;2023-03-15;1° dosis;2;Población General;Occidente
Alhué;2023-03-15;Única;32;Población General;Occidente
Alhué;2023-03-16;1° dosis;1;Población General;Occidente
Alhué;2023-03-16;Única;42;Población General;Occidente
Alhué;2023-03-17;1° dosis;3;Población General;Occidente
Alhué;2023-03-17;Única;88;Población General;Occidente
Alhué;2023-03-18;1° dosis;1;Población General;Occidente
Alhué;2023-03-18;Única;25;Población General;Occidente
Alhué;2023-03-20;1° dosis;6;Población General;Occidente
Alhué;2023-03-20;Única;82;Población General;Occidente
Alhué;2023-03-21;Única;113;Población General;Occidente
Alhué;2023-03-22;1° dosis;2;Población General;Occidente
Alhué;2023-03-22;Única;60;Población General;Occidente
Alhué;2023-03-23;1° dosis;1;Población General;Occidente
Alhué;2023-03-23;Única;71;Población General;Occidente
Alhué;2023-03-24;1° dosis;3;Población General;Occidente
Alhué;2023-03-24;Única;63;Población General;Occidente
Alhué;2023-03-25;Única;24;Población General;Occidente
Alhué;2023-03-27;1° dosis;2;Población General;Occidente
Alhué;2023-03-27;Única;72;Población General;Occidente
Alhué;2023-03-28;1° dosis;2;Población General;Occidente
Alhué;2023-03-28;Única;44;Población General;Occidente
Alhué;2023-03-29;1° dosis;3;Población General;Occidente
Alhué;2023-03-29;Única;71;Población General;Occidente
Alhué;2023-03-30;1° dosis;2;Población General;Occidente
Alhué;2023-03-30;Única;56;Población General;Occidente
Alhué;2023-03-31;1° dosis;2;Población General;Occidente
Alhué;2023-03-31;Única;100;Población General;Occidente
Alhué;2023-04-01;1° dosis;1;Población General;Occidente
Alhué;2023-04-01;Única;20;Población General;Occidente
Alhué;2023-04-03;Única;90;Población General;Occidente
Alhué;2023-04-04;1° dosis;2;Población General;Occidente
Alhué;2023-04-04;Única;29;Población General;Occidente
Alhué;2023-04-05;1° dosis;1;Población General;Occidente
Alhué;2023-04-05;Única;95;Población General;Occidente
Alhué;2023-04-06;1° dosis;2;Población General;Occidente
Alhué;2023-04-06;Única;63;Población General;Occidente
Alhué;2023-04-10;1° dosis;1;Población General;Occidente
Alhué;2023-04-10;Única;43;Población General;Occidente
Alhué;2023-04-11;1° dosis;1;Población General;Occidente
Alhué;2023-04-11;Única;69;Población General;Occidente
Alhué;2023-04-12;2° dosis;1;Población General;Occidente
Alhué;2023-04-12;Única;59;Población General;Occidente
Alhué;2023-04-13;1° dosis;1;Población General;Occidente
Alhué;2023-04-13;Única;38;Población General;Occidente
Alhué;2023-04-14;1° dosis;1;Población General;Occidente
Alhué;2023-04-14;2° dosis;1;Población General;Occidente
Alhué;2023-04-14;Única;37;Población General;Occidente
Alhué;2023-04-15;2° dosis;1;Población General;Occidente
Alhué;2023-04-15;Única;17;Población General;Occidente
Buin;2023-03-15;1° dosis;11;Población General;Sur
Buin;2023-03-15;Única;250;Población General;Sur
Buin;2023-03-16;1° dosis;7;Población General;Sur
Buin;2023-03-16;Única;353;Población General;Sur
Buin;2023-03-17;1° dosis;15;Población General;Sur
Buin;2023-03-17;Única;717;Población General;Sur
Buin;2023-03-18;1° dosis;1;Población General;Sur
Buin;2023-03-18;Única;16;Población General;Sur
Buin;2023-03-20;1° dosis;20;Población General;Sur
Buin;2023-03-20;Única;751;Población General;Sur
Buin;2023-03-21;1° dosis;22;Población General;Sur
Buin;2023-03-21;Única;770;Población General;Sur
Buin;2023-03-22;1° dosis;27;Población General;Sur
Buin;2023-03-22;Única;693;Población General;Sur
Buin;2023-03-23;1° dosis;20;Población General;Sur
Buin;2023-03-23;Única;867;Población General;Sur
Buin;2023-03-24;1° dosis;24;Población General;Sur
Buin;2023-03-24;Única;655;Población General;Sur
Buin;2023-03-25;1° dosis;2;Población General;Sur
Buin;2023-03-25;Única;128;Población General;Sur
Buin;2023-03-27;1° dosis;26;Población General;Sur
Buin;2023-03-27;Única;634;Población General;Sur
Buin;2023-03-28;1° dosis;25;Población General;Sur
Buin;2023-03-28;Única;616;Población General;Sur
Buin;2023-03-29;1° dosis;24;Población General;Sur
Buin;2023-03-29;Única;651;Población General;Sur
Buin;2023-03-30;1° dosis;17;Población General;Sur
Buin;2023-03-30;Única;681;Población General;Sur
Buin;2023-03-31;1° dosis;17;Población General;Sur
Buin;2023-03-31;Única;503;Población General;Sur
Buin;2023-04-01;1° dosis;1;Población General;Sur
Buin;2023-04-01;Única;160;Población General;Sur
Buin;2023-04-03;1° dosis;19;Población General;Sur
Buin;2023-04-03;EPRO;1;Población General;Sur
Buin;2023-04-03;Única;540;Población General;Sur
Buin;2023-04-04;1° dosis;18;Población General;Sur
Buin;2023-04-04;EPRO;1;Población General;Sur
Buin;2023-04-04;Única;577;Población General;Sur
Buin;2023-04-05;1° dosis;15;Población General;Sur
Buin;2023-04-05;Única;809;Población General;Sur
Buin;2023-04-06;1° dosis;20;Población General;Sur
Buin;2023-04-06;EPRO;1;Población General;Sur
Buin;2023-04-06;Única;547;Población General;Sur
Buin;2023-04-10;1° dosis;30;Población General;Sur
Buin;2023-04-10;Única;718;Población General;Sur
Buin;2023-04-11;1° dosis;28;Población General;Sur
Buin;2023-04-11;Única;1027;Población General;Sur
Buin;2023-04-12;1° dosis;55;Población General;Sur
Buin;2023-04-12;2° dosis;1;Población General;Sur
Buin;2023-04-12;Única;1025;Población General;Sur
Buin;2023-04-13;1° dosis;18;Población General;Sur
Buin;2023-04-13;2° dosis;6;Población General;Sur
Buin;2023-04-13;Única;545;Población General;Sur
Buin;2023-04-14;1° dosis;29;Población General;Sur
Buin;2023-04-14;2° dosis;5;Población General;Sur
Buin;2023-04-14;Única;691;Población General;Sur
Buin;2023-04-15;Única;10;Población General;Sur
Calera de Tango;2023-03-15;Única;33;Población General;Sur
Calera de Tango;2023-03-16;Única;10;Población General;Sur
Calera de Tango;2023-03-17;Única;21;Población General;Sur
Calera de Tango;2023-03-20;1° dosis;3;Población General;Sur
Calera de Tango;2023-03-20;Única;140;Población General;Sur
Calera de Tango;2023-03-21;1° dosis;2;Población General;Sur
Calera de Tango;2023-03-21;Única;153;Población General;Sur
Calera de Tango;2023-03-22;1° dosis;4;Población General;Sur
Calera de Tango;2023-03-22;Única;168;Población General;Sur
Calera de Tango;2023-03-23;1° dosis;1;Población General;Sur
Calera de Tango;2023-03-23;Única;154;Población General;Sur
Calera de Tango;2023-03-24;1° dosis;8;Población General;Sur
Calera de Tango;2023-03-24;Única;155;Población General;Sur
Calera de Tango;2023-03-25;Única;15;Población General;Sur
Calera de Tango;2023-03-27;1° dosis;4;Población General;Sur
Calera de Tango;2023-03-27;Única;125;Población General;Sur
Calera de Tango;2023-03-28;1° dosis;3;Población General;Sur
Calera de Tango;2023-03-28;Única;113;Población General;Sur
Calera de Tango;2023-03-29;1° dosis;1;Población General;Sur
Calera de Tango;2023-03-29;Única;381;Población General;Sur
Calera de Tango;2023-03-30;1° dosis;3;Población General;Sur
Calera de Tango;2023-03-30;Única;488;Población General;Sur
Calera de Tango;2023-03-31;1° dosis;2;Población General;Sur
Calera de Tango;2023-03-31;Única;128;Población General;Sur
Calera de Tango;2023-04-03;1° dosis;3;Población General;Sur
Calera de Tango;2023-04-03;Única;169;Población General;Sur
Calera de Tango;2023-04-04;1° dosis;3;Población General;Sur
Calera de Tango;2023-04-04;Única;125;Población General;Sur
Calera de Tango;2023-04-05;1° dosis;4;Población General;Sur
Calera de Tango;2023-04-05;Única;179;Población General;Sur
Calera de Tango;2023-04-06;1° dosis;3;Población General;Sur
Calera de Tango;2023-04-06;Única;505;Población General;Sur
Calera de Tango;2023-04-10;1° dosis;6;Población General;Sur
Calera de Tango;2023-04-10;EPRO;1;Población General;Sur
Calera de Tango;2023-04-10;Única;118;Población General;Sur
Calera de Tango;2023-04-11;1° dosis;5;Población General;Sur
Calera de Tango;2023-04-11;Única;144;Población General;Sur
Calera de Tango;2023-04-12;1° dosis;1;Población General;Sur
Calera de Tango;2023-04-12;Única;123;Población General;Sur
Calera de Tango;2023-04-13;1° dosis;2;Población General;Sur
Calera de Tango;2023-04-13;Única;223;Población General;Sur
Calera de Tango;2023-04-14;1° dosis;6;Población General;Sur
Calera de Tango;2023-04-14;Única;284;Población General;Sur
Calera de Tango;2023-04-15;Única;15;Población General;Sur
Cerrillos;2023-03-15;1° dosis;6;Población General;Central
Cerrillos;2023-03-15;Única;281;Población General;Central
Cerrillos;2023-03-16;1° dosis;9;Población General;Central
Cerrillos;2023-03-16;Única;382;Población General;Central
Cerrillos;2023-03-17;1° dosis;4;Población General;Central
Cerrillos;2023-03-17;Única;313;Población General;Central
Cerrillos;2023-03-18;Única;45;Población General;Central
Cerrillos;2023-03-20;1° dosis;10;Población General;Central
Cerrillos;2023-03-20;Única;367;Población General;Central
Cerrillos;2023-03-21;1° dosis;14;Población General;Central
Cerrillos;2023-03-21;Única;479;Población General;Central
Cerrillos;2023-03-22;1° dosis;21;Población General;Central
Cerrillos;2023-03-22;Única;577;Población General;Central
Cerrillos;2023-03-23;1° dosis;22;Población General;Central
