Comuna;CODIGO_DEIS;Establecimiento;Dosis;N° de vacunados;Criterio_elegibilidad;Vacuna;Servicio;Código Antiguo ;latitud;longitud
Alhué;10-393;Centro de Salud Familiar Villa Alhué;Única;15;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-393;-34.032484;-71.100076
Buin;13-320;Centro de Salud Familiar Maipo;Única;44;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-320;-33.734885;-70.784598
Buin;13-333;Centro de Salud Familiar Alto Jahuel;Única;6;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-333;-33.735249;-70.684161
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;Única;85;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-390;-33.737754;-70.741333
Buin;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;Única;3;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-402;-33.75109;-70.735556
Buin;13-404;Posta de Salud Rural Valdivia de Paine;Única;4;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-404;-33.811928;-70.86063
Buin;13-405;Posta de Salud Rural Viluco;Única;2;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-405;-33.782229;-70.791771
Buin;13-406;Posta de Salud Rural El Recurso;Única;1;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-406;-33.690787;-70.701729
Buin;13-407;Posta de Salud Rural Los Morros;Única;4;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-407;-33.67046;-70.665548
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;Única;6;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-790;-33.711787;-70.739533
Buin;201162;KUME FELEN SPA;Única;2;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;201162;-33.730461;-70.741187
Calera de Tango;13-321;Centro de Salud Familiar Calera de Tango;Única;9;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-321;-33.636009;-70.811012
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;Única;6;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-334;-33.625946;-70.782415
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Única;72;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-305;-33.49331;-70.719201
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Única;28;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-307;-33.501479;-70.733545
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Única;48;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Única;25;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Única;25;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-335;-33.419555;-70.750834
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Única;20;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-355;-33.433502;-70.731655
Colina;09-310;Centro de Salud Familiar Colina;Única;58;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-310;-33.205979;-70.670553
Colina;09-316;Centro de Salud Familiar Esmeralda;Única;11;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-316;-33.184133;-70.653657
Colina;09-417;Posta de Salud Rural Los Ingleses;Única;2;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-417;-33.267323;-70.678694
Colina;09-419;Posta de Salud Rural Santa Marta de Liray;Única;5;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-419;-33.240239;-70.736763
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;Única;2;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-905;-33.286284;-70.651801
