Comuna;FECHA_INMUNIZACION;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio;Vacuna
Alhué;2023-03-16;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Alhué;2023-03-17;Única;4;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Alhué;2023-03-20;Única;2;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Alhué;2023-03-21;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Alhué;2023-03-23;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Alhué;2023-03-24;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Alhué;2023-04-06;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Buin;2023-03-15;Única;2;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-16;Única;2;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-20;Única;9;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-21;Única;7;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-22;Única;8;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-23;Única;15;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-24;Única;4;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-27;Única;3;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-28;Única;6;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-29;Única;5;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-30;Única;7;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-03-31;Única;5;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-04-01;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-04-03;Única;6;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-04-04;Única;6;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-04-05;Única;6;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Buin;2023-04-06;Única;5;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Calera de Tango;2023-03-20;Única;2;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Calera de Tango;2023-03-22;Única;3;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Calera de Tango;2023-03-23;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Calera de Tango;2023-03-24;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Calera de Tango;2023-03-27;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Calera de Tango;2023-03-31;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Calera de Tango;2023-04-06;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
Cerrillos;2023-03-15;Única;7;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-16;Única;6;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-17;Única;8;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-18;Única;2;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-20;Única;8;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-21;Única;1;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-22;Única;3;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-24;Única;2;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-27;Única;1;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-28;Única;3;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-29;Única;4;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-30;Única;4;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-03-31;Única;1;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-04-01;Única;3;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-04-03;Única;11;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-04-04;Única;9;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-04-05;Única;11;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerrillos;2023-04-06;Única;13;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Cerro Navia;2023-03-15;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-17;Única;3;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-20;Única;4;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-21;Única;2;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-22;Única;5;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-23;Única;6;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-24;Única;5;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-27;Única;8;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-28;Única;4;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-29;Única;4;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-03-30;Única;3;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-04-03;Única;4;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-04-04;Única;11;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-04-05;Única;4;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Cerro Navia;2023-04-06;Única;5;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Colina;2023-03-15;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-16;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-17;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-18;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-20;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-21;Única;8;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-22;Única;3;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-24;Única;3;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-27;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-28;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-29;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-03-31;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-04-04;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-04-05;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Colina;2023-04-06;Única;4;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-15;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-16;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-17;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-18;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-20;Única;8;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-21;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-22;Única;10;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-23;Única;3;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-24;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-25;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-27;Única;8;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-28;Única;9;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-29;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-30;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-03-31;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-04-01;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-04-04;Única;3;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-04-05;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Conchalí;2023-04-06;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Curacaví;2023-03-15;Única;2;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Curacaví;2023-03-20;Única;3;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Curacaví;2023-03-21;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Curacaví;2023-03-23;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Curacaví;2023-03-24;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Curacaví;2023-03-31;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Curacaví;2023-04-03;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Curacaví;2023-04-05;Única;4;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Bosque;2023-03-15;Única;5;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-16;Única;2;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-17;Única;19;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-18;Única;8;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-20;Única;11;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-21;Única;16;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-22;Única;22;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-23;Única;17;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-24;Única;9;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-25;Única;13;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-27;Única;13;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-28;Única;19;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-29;Única;3;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-30;Única;17;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-03-31;Única;13;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-04-01;Única;14;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-04-03;Única;14;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-04-04;Única;11;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-04-05;Única;9;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Bosque;2023-04-06;Única;6;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
El Monte;2023-03-15;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-03-17;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
