Servicio;Comuna;CODIGO_DEIS;Establecimiento;Criterio_elegibilidad;N° de vacunados;Código Antiguo ;latitud;longitud
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Embarazadas;79;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Enfermos cronicos de 11 a 64 años de edad;971;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Escolares de 1° a 5° año básico;313;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Estrategia Capullo;3;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Niños y niñas de 6 meses a 5 años de edad;285;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Otras prioridades;3;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;P. de salud: Privado;46;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;P. de salud: Público;113;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Personas mayores de 65 años y más;1215;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Población General;3044;11-305;-33.49331;-70.719201
Central;Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;59;11-305;-33.49331;-70.719201
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Embarazadas;42;11-307;-33.501479;-70.733545
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Enfermos cronicos de 11 a 64 años de edad;546;11-307;-33.501479;-70.733545
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Escolares de 1° a 5° año básico;181;11-307;-33.501479;-70.733545
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Niños y niñas de 6 meses a 5 años de edad;205;11-307;-33.501479;-70.733545
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Otras prioridades;4;11-307;-33.501479;-70.733545
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;P. de salud: Privado;3;11-307;-33.501479;-70.733545
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;P. de salud: Público;120;11-307;-33.501479;-70.733545
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Personas mayores de 65 años y más;1386;11-307;-33.501479;-70.733545
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Población General;2526;11-307;-33.501479;-70.733545
