Comuna_residencia,FECHA_INMUNIZACION,N° de vacunados,Grupo_obj,cod_comuna,Comuna,Provincia,Servicio
Alhué,2023-03-15,34,Población General,13502,Alhué,Melipilla,Occidente
Alhué,2023-03-16,43,Población General,13502,Alhué,Melipilla,Occidente
Alhué,2023-03-17,91,Población General,13502,Alhué,Melipilla,Occidente
Alhué,2023-03-18,26,Población General,13502,Alhué,Melipilla,Occidente
Alhué,2023-03-20,87,Población General,13502,Alhué,Melipilla,Occidente
Alhué,2023-03-21,114,Población General,13502,Alhué,Melipilla,Occidente
Alhué,2023-03-22,63,Población General,13502,Alhué,Melipilla,Occidente
Alhué,2023-03-23,73,Población General,13502,Alhué,Melipilla,Occidente
Alhué,2023-03-24,66,Población General,13502,Alhué,Melipilla,Occidente
Alhué,2023-03-25,24,Población General,13502,Alhué,Melipilla,Occidente
Buin,2023-03-15,310,Población General,13402,Buin,Maipo,Sur
Buin,2023-03-16,398,Población General,13402,Buin,Maipo,Sur
Buin,2023-03-17,700,Población General,13402,Buin,Maipo,Sur
Buin,2023-03-18,20,Población General,13402,Buin,Maipo,Sur
Buin,2023-03-20,824,Población General,13402,Buin,Maipo,Sur
Buin,2023-03-21,809,Población General,13402,Buin,Maipo,Sur
Buin,2023-03-22,746,Población General,13402,Buin,Maipo,Sur
Buin,2023-03-23,835,Población General,13402,Buin,Maipo,Sur
Buin,2023-03-24,427,Población General,13402,Buin,Maipo,Sur
Buin,2023-03-25,133,Población General,13402,Buin,Maipo,Sur
Calera de Tango,2023-03-15,41,Población General,13403,Calera de Tango,Maipo,Sur
Calera de Tango,2023-03-16,20,Población General,13403,Calera de Tango,Maipo,Sur
Calera de Tango,2023-03-17,26,Población General,13403,Calera de Tango,Maipo,Sur
Calera de Tango,2023-03-20,147,Población General,13403,Calera de Tango,Maipo,Sur
Calera de Tango,2023-03-21,159,Población General,13403,Calera de Tango,Maipo,Sur
Calera de Tango,2023-03-22,180,Población General,13403,Calera de Tango,Maipo,Sur
Calera de Tango,2023-03-23,177,Población General,13403,Calera de Tango,Maipo,Sur
Calera de Tango,2023-03-24,170,Población General,13403,Calera de Tango,Maipo,Sur
